FileName;Correct;Recurrence Formula;Resulting Formula;Output recurrence formula;Output resulting Formula
D:\Discrete Structuren\comass00.txt;True;2*1*x + +2*1*y + -3*1*z + +(1/2-(1/2)*13**(1/2))**n;1*(-5*(13)^(1/2)/117 + 7/3)+(1/2 + (13)^(1/2)/2)^n*(-121/234 + 101*(13)^(1/2)/234)+(-(13)^(1/2)/2 + 1/2)^n*(-347/234 - 7*(13)^(1/2)/18)+n^1*-5*(13)^(1/2)/39 + 2/3*(-(13)^(1/2)/2 + 1/2)^n;[14.78889744907202, 17.458365434020077, 51.7417886492763, 98.92259031009692, 242.58442475668272, 536.0863507978876, 1249.7637562109967, 2858.029975616338, 6588.981375226063, 15168.633504622725, 34910.000796314656, 80430.8916543754, 185123.03445608905, 426446.7014350985, 981757.0986280938, 2261155.353376303, 5206332.561748219, 11989902.866264038, 27608746.41392904, 63578637.48887276];[18.38675049056307, 23.16025147168922, 75.48075441506768, 143.50851079238765, 369.884526490406, 801.7305618109475, 1914.0913947161073, 4323.377084073456, 10071.132022636844, 23048.13077976284, 53269.781103069574, 122423.81444824488, 282244.1855138309, 649528.0433654333, 1496274.401164285, 3444873.719268435, 7933713.497519629, 18268352.61683376, 42069512.45765198, 96874591.04316309]
D:\Discrete Structuren\comass01.txt;True;2*1*x + 0;(37)*(2)^n;[74, 148, 296, 592, 1184, 2368, 4736, 9472, 18944, 37888, 75776, 151552, 303104, 606208, 1212416, 2424832, 4849664, 9699328, 19398656, 38797312];[74, 148, 296, 592, 1184, 2368, 4736, 9472, 18944, 37888, 75776, 151552, 303104, 606208, 1212416, 2424832, 4849664, 9699328, 19398656, 38797312]
D:\Discrete Structuren\comass02.txt;True;5*1*x + -6*1*y + 0;(-1)*(2)^n + (1)*(3)^n;[5, 19, 65, 211, 665, 2059, 6305, 19171, 58025, 175099, 527345, 1586131, 4766585, 14316139, 42981185, 129009091, 387158345, 1161737179, 3485735825, 10458256051];[5, 19, 65, 211, 665, 2059, 6305, 19171, 58025, 175099, 527345, 1586131, 4766585, 14316139, 42981185, 129009091, 387158345, 1161737179, 3485735825, 10458256051]
D:\Discrete Structuren\comass03.txt;True;-4*1*y + +4*1*x + 0;((2^n) * 6) + ((2^n*n) * -2);[8, 0, -32, -128, -384, -1024, -2560, -6144, -14336, -32768, -73728, -163840, -360448, -786432, -1703936, -3670016, -7864320, -16777216, -35651584, -75497472];[8, 0, -32, -128, -384, -1024, -2560, -6144, -14336, -32768, -73728, -163840, -360448, -786432, -1703936, -3670016, -7864320, -16777216, -35651584, -75497472]
D:\Discrete Structuren\comass04.txt;True;4*1*y + 0;(-1/4)*(-2)^n + (9/4)*(2)^n;[8, 20, 32, 80, 128, 320, 512, 1280, 2048, 5120, 8192, 20480, 32768, 81920, 131072, 327680, 524288, 1310720, 2097152, 5242880];[8.0, 20.0, 32.0, 80.0, 128.0, 320.0, 512.0, 1280.0, 2048.0, 5120.0, 8192.0, 20480.0, 32768.0, 81920.0, 131072.0, 327680.0, 524288.0, 1310720.0, 2097152.0, 5242880.0]
D:\Discrete Structuren\comass05.txt;True;(1/2)*1*x + +(1/2)*1*y + 0;(87310/3)*(-1/2)^n + (512690/3)*(1)^n;[178172.5, 167258.75, 172715.625, 169987.1875, 171351.40625, 170669.296875, 171010.3515625, 170839.82421875, 170925.087890625, 170882.4560546875, 170903.77197265625, 170893.11401367188, 170898.44299316406, 170895.77850341797, 170897.11074829102, 170896.4446258545, 170896.77768707275, 170896.61115646362, 170896.6944217682, 170896.6527891159];[178172.5, 167258.75, 172715.625, 169987.1875, 171351.40625, 170669.296875, 171010.3515625, 170839.82421875, 170925.087890625, 170882.4560546875, 170903.77197265625, 170893.11401367188, 170898.44299316406, 170895.77850341797, 170897.11074829102, 170896.4446258545, 170896.77768707275, 170896.61115646362, 170896.6944217682, 170896.6527891159]
D:\Discrete Structuren\comass07.txt;True;1*x + +1*y + 0;((5)^(1/2)/10 + 1/2)*(1/2 + (5)^(1/2)/2)^n + (-(5)^(1/2)/10 + 1/2)*(-(5)^(1/2)/2 + 1/2)^n;[2, 3, 5, 8, 13, 21, 34, 55, 89, 144, 233, 377, 610, 987, 1597, 2584, 4181, 6765, 10946, 17711];[1.9999999999999998, 3.0, 5.0, 8.000000000000002, 13.000000000000004, 21.000000000000004, 34.000000000000014, 55.00000000000002, 89.00000000000003, 144.00000000000003, 233.00000000000009, 377.0000000000001, 610.0000000000002, 987.0000000000005, 1597.000000000001, 2584.0000000000014, 4181.000000000003, 6765.000000000004, 10946.000000000005, 17711.00000000001]
D:\Discrete Structuren\comass08.txt;True;2*1*x + +2*1*y + 0;(-37*(3)^(1/2) + 222)*(1 + (3)^(1/2))^n + (37*(3)^(1/2) + 222)*(-(3)^(1/2) + 1)^n;[1332, 3108, 8880, 23976, 65712, 179376, 490176, 1339104, 3658560, 9995328, 27307776, 74606208, 203827968, 556868352, 1521392640, 4156521984, 11355829248, 31024702464, 84761063424, 231571531776];[1332.0, 3107.9999999999995, 8879.999999999998, 23975.999999999996, 65711.99999999999, 179375.99999999997, 490175.99999999994, 1339103.9999999995, 3658559.9999999986, 9995327.999999996, 27307775.99999999, 74606207.99999997, 203827967.99999988, 556868351.9999998, 1521392639.999999, 4156521983.9999976, 11355829247.999994, 31024702463.99998, 84761063423.99994, 231571531775.99988]
D:\Discrete Structuren\comass09.txt;True;3*1*x + +2;3^n*(-14)+-1;[-43, -127, -379, -1135, -3403, -10207, -30619, -91855, -275563, -826687, -2480059, -7440175, -22320523, -66961567, -200884699, -602654095, -1807962283, -5423886847, -16271660539, -48814981615];[-43, -127, -379, -1135, -3403, -10207, -30619, -91855, -275563, -826687, -2480059, -7440175, -22320523, -66961567, -200884699, -602654095, -1807962283, -5423886847, -16271660539, -48814981615]
D:\Discrete Structuren\comass10.txt;True;1*x + +1*y + 0;((5)^(1/2)/5 + 2)*(1/2 + (5)^(1/2)/2)^n + (-(5)^(1/2)/5 + 2)*(-(5)^(1/2)/2 + 1/2)^n;[7, 10, 17, 27, 44, 71, 115, 186, 301, 487, 788, 1275, 2063, 3338, 5401, 8739, 14140, 22879, 37019, 59898];[7.0, 10.0, 17.0, 27.000000000000004, 44.00000000000001, 71.00000000000001, 115.00000000000003, 186.00000000000006, 301.0000000000001, 487.00000000000017, 788.0000000000003, 1275.0000000000005, 2063.000000000001, 3338.000000000002, 5401.000000000003, 8739.000000000005, 14140.00000000001, 22879.000000000015, 37019.00000000002, 59898.00000000004]
