FileName;Equation;Correct;Output
D:\Discrete Structuren\comass00.txt;1*(-5*sqrt(13)/117 + 7/3)+(1/2 + sqrt(13)/2)**n*(-121/234 + 101*sqrt(13)/234)+(-sqrt(13)/2 + 1/2)**n*(-347/234 - 7*sqrt(13)/18)+n**1*-5*sqrt(13)/39 + 2/3*(-sqrt(13)/2 + 1/2)**n;True;[[0.9999999999999997, '1'], [6.999999999999999, '7'], [3.0, '3']]
D:\Discrete Structuren\comass01.txt;(37)*(2)^n;True;[[37, '37']]
D:\Discrete Structuren\comass02.txt;(-1)*(2)^n + (1)*(3)^n;True;[[0, '0'], [1, '1']]
D:\Discrete Structuren\comass03.txt;((2**n) * 6) + ((2**n*n) * -2);True;[[6, '6'], [8, '8']]
D:\Discrete Structuren\comass04.txt;(-1/4)*(-2)^n + (9/4)*(2)^n;True;[[2.0, '2'], [5.0, '5']]
D:\Discrete Structuren\comass05.txt;(87310/3)*(-1/2)^n + (512690/3)*(1)^n;True;[[200000.0, '200000'], [156345.0, '156345']]
D:\Discrete Structuren\comass07.txt;(sqrt(5)/10 + 1/2)*(1/2 + sqrt(5)/2)^n + (-sqrt(5)/10 + 1/2)*(-sqrt(5)/2 + 1/2)^n;True;[[1.0, '1'], [0.9999999999999999, '1']]
D:\Discrete Structuren\comass08.txt;(-37*sqrt(3) + 222)*(1 + sqrt(3))^n + (37*sqrt(3) + 222)*(-sqrt(3) + 1)^n;True;[[444.0, '444'], [222.00000000000006, '222']]
D:\Discrete Structuren\comass09.txt;3**n*(-14)+-1;True;[[-15, '-15']]
D:\Discrete Structuren\comass10.txt;(sqrt(5)/5 + 2)*(1/2 + sqrt(5)/2)^n + (-sqrt(5)/5 + 2)*(-sqrt(5)/2 + 1/2)^n;True;[[4.0, '4'], [3.0, '3']]
D:\Discrete Structuren\comass11.txt;((2**n) * 11) + ((2**n*n) * -21/2);True;[[11.0, '11'], [1.0, '1']]
D:\Discrete Structuren\comass12.txt;(-4*sqrt(5)/5 + 1/2)*(-sqrt(5)/2)^n + (1/2 + 4*sqrt(5)/5)*(sqrt(5)/2)^n;True;[[1.0, '1'], [4.000000000000001, '4']]
D:\Discrete Structuren\comass13.txt;(-61*sqrt(26)/52 + 17/2)*(3 + sqrt(26))^n + (61*sqrt(26)/52 + 17/2)*(-sqrt(26) + 3)^n;True;[[17.0, '17'], [-9.999999999999982, '-10']]
D:\Discrete Structuren\comass14.txt;(47/12)*(-1)^n + (16/3)*(2)^n + (3/4)*(3)^n;True;[[10.0, '10'], [9.0, '9'], [32.0, '32']]
D:\Discrete Structuren\comass19.txt;2**n*(2/25)+2**n*n*(1/5)+(-3)**n*(-41/200)+(-3)**n*n*(1/10)+1/8;True;[[1.3877787807814457e-17, '0'], [1.0, '1'], [2.0, '2'], [3.0, '3']]
D:\Discrete Structuren\comass21.txt;2**n*(87/32)+2**n*n*(-39/32)+(-2)**n*(9/32)+(-2)**n*n*(-5/32)+n**2*1/8*(2)**n;True;[[3.0, '3'], [3.0, '3'], [3.0, '3'], [3.0, '3']]
D:\Discrete Structuren\comass38.txt;(1/2 + sqrt(5)/2)**n*(-9*sqrt(5)/10 - 9/10)+(-sqrt(5)/2 + 1/2)**n*(-9/10 + 9*sqrt(5)/10)+9/5*3**n;True;[[2.220446049250313e-16, '0'], [0.0, '0']]
D:\Discrete Structuren\comass41.txt;((2**n) * 1) + ((2**n*n) * 19851/4480) + ((2**n*n**2) * -231629/23040) + ((2**n*n**3) * 386243/46080) + ((2**n*n**4) * -7841/2304) + ((2**n*n**5) * 16477/23040) + ((2**n*n**6) * -1721/23040) + ((2**n*n**7) * 989/322560);True;[[1.0, '1'], [1.999999999999999, '2'], [2.999999999999975, '3'], [3.9999999999998863, '4'], [-4.999999999999886, '-5'], [-6.000000000009095, '-6'], [-7.0, '-7'], [-7.999999999883585, '-8']]
D:\Discrete Structuren\comass43.txt;(15/4)*(-3)^n + (-20/3)*(-2)^n + (479/12)*(1)^n;True;[[37.0, '37'], [42.0, '42'], [47.0, '47']]
D:\Discrete Structuren\comass46.txt;(-sqrt(5)/3 + 7)*(1/2 + 3*sqrt(5)/2)^n + (sqrt(5)/3 + 7)*(-3*sqrt(5)/2 + 1/2)^n;True;[[14.0, '14'], [1.9999999999999964, '2']]
D:\Discrete Structuren\comass50.txt;(-65/36)*(-1)^n + (7/76)*(3)^n + (-3641*sqrt(85)/14535 + 403/171)*(9/2 + sqrt(85)/2)^n + (3641*sqrt(85)/14535 + 403/171)*(-sqrt(85)/2 + 9/2)^n;True;[[3.0, '3'], [1.9999999999999978, '2'], [2.9999999999999725, '3'], [39.999999999999744, '40']]
D:\Discrete Structuren\comass53.txt;(99)*(666)^n;True;[[99, '99']]
D:\Discrete Structuren\comass58.txt;(-2/3)**n*(-43/10)+(2/3)**n*(13/2)+9/5;True;[[4.0, '4'], [9.0, '9']]
D:\Discrete Structuren\comass59.txt;((1) * 0) + (((-1)**n) * -35/27) + (((-2)**n) * 1/160) + (((1/2)**n) * 128/45) + ((2**n) * 1249/864) + ((2**n*n) * -23/72) + ((2**n*n**2) * 1/48);True;[[3.0, '3'], [5.000000000000001, '5'], [3.0000000000000004, '3'], [6.999999999999999, '7'], [7.000000000000001, '7'], [12.999999999999996, '13'], [17.0, '17']]
D:\Discrete Structuren\comass63.txt;(-41/77)*(-2)^n + (27/14)*(-1)^n + (-783/70)*(1/3)^n + (6464/385)*(3/4)^n;True;[[7.0, '7'], [7.999999999999999, '8'], [8.0, '8'], [8.999999999999998, '9']]
D:\Discrete Structuren\comass68.txt;((2**n) * 437/576) + ((1) * 433/432) + ((3**n) * -793/4000) + ((3**n*n) * 17/800) + (((-1)**n) * -97/288) + (((-1)**n*n) * 73/96) + (((-2)**n) * -48803/216000) + (((-2)**n*n) * 23/3600) + (((-2)**n*n**2) * 1/480);True;[[1.0, '1'], [2.0, '2'], [2.999999999999999, '3'], [3.0000000000000004, '3'], [3.9999999999999987, '4'], [4.000000000000001, '4'], [-4.99999999999998, '-5'], [-4.999999999999961, '-5'], [4.999999999999908, '5']]
D:\Discrete Structuren\comass71.txt;(10 + 22*sqrt(5))*(1/6 + sqrt(5)/6)^n + (-22*sqrt(5) + 10)*(-sqrt(5)/6 + 1/6)^n;True;[[20.0, '20'], [40.0, '40']]
D:\Discrete Structuren\comass73.txt;(1/10 + sqrt(26)/10)**n*(5*sqrt(26)/1771 + 10/253)+(-sqrt(26)/10 + 1/10)**n*(-5*sqrt(26)/1771 + 10/253)+-10*2**n/253*2/7**n;True;[[0.0, '0'], [-3.469446951953614e-18, '0']]
